City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,kavaratti,10.5669,72.642,27.61,85,100,12.1,IN,1719274232
278,rosalie,15.3667,-61.2667,27.36,85,89,7.31,DM,1719274299
279,gornozavodsk,58.3758,58.3211,12.91,99,54,1.6,RU,1719274300
280,mao,39.8885,4.2658,20.78,70,0,1.92,ES,1719274302
281,tezu,27.9167,96.1667,26.04,80,86,0.84,IN,1719274303
282,arenapolis,-14.4503,-56.8461,25.15,44,36,1.33,BR,1719274304
283,withernsea,53.7311,0.0335,19.5,91,100,4.33,GB,1719274306
284,apucarana,-23.5508,-51.4608,23.42,54,97,1.83,BR,1719274167
285,daru,-9.0763,143.2092,26.16,92,100,5.27,PG,1719274308
286,the pas,53.8251,-101.2541,15.03,91,99,7.82,CA,1719274310
287,naliya,23.2667,68.8333,28.87,84,92,5.05,IN,1719274311
288,cole harbour,44.6724,-63.4751,15.52,95,100,0.89,CA,1719274312
289,birzebbuga,35.8258,14.5269,23.97,77,56,4.5,MT,1719274314
290,pazardzhik,42.2,24.3333,19.13,79,78,0.61,BG,1719274317
291,jamaame,0.0697,42.745,24.58,77,98,5.82,SO,1719274318
292,port saint john's,-31.6229,29.5448,17.98,61,6,3.51,ZA,1719274319
293,blenheim,-41.516,173.9528,11.4,89,100,1.44,NZ,1719274321
294,tindouf,27.6711,-8.1474,23.98,51,0,8.75,DZ,1719274322
295,touros,-5.1989,-35.4608,24.27,90,28,3.88,BR,1719274324
296,cachoeiras de macacu,-22.4625,-42.6531,19.46,62,0,2.73,BR,1719274325
297,antsiranana,-12.2787,49.2917,23.34,68,50,8.62,MG,1719274326
298,rapar,23.5667,70.6333,29.88,69,97,2.29,IN,1719274091
299,taroa,8.7058,171.2275,27.92,83,99,8.86,MH,1719274329
300,durban,-29.8579,31.0292,16.55,51,0,2.31,ZA,1719274087
301,villa regina,-39.1,-67.0667,4.99,44,8,0.45,AR,1719274332
302,bhimunipatnam,17.8833,83.4333,28.29,76,94,4.02,IN,1719274333
303,ambositra,-20.5167,47.25,10.45,94,98,2.07,MG,1719274150
304,roma,43.2128,-75.4557,21.49,76,88,3.3,US,1719274336
305,pizarro,4.9533,-77.366,26.82,83,59,2.46,CO,1719274337
306,marshfield,44.6689,-90.1718,26.36,88,92,3.01,US,1719274039
307,hawaiian paradise park,19.5933,-154.9731,28.18,71,46,2.24,US,1719274340
308,namibe,-15.1961,12.1522,20.4,71,0,1.41,AO,1719274341
309,al fashn,28.8243,30.8995,29.88,33,0,5.29,EG,1719274343
310,krasnoshchekovo,51.6708,82.7289,20.76,78,42,1.7,RU,1719274344
311,guarapari,-20.6667,-40.4975,22.41,79,2,4.05,BR,1719274057
312,vorkuta,67.5,64.0,12.29,64,67,5.02,RU,1719274347
313,red chute,32.556,-93.6132,34.91,64,98,1.05,US,1719274348
314,shenjiamen,29.9576,122.298,21.79,98,100,2.33,CN,1719274350
315,oranjemund,-28.55,16.4333,13.64,93,17,8.24,NA,1719274351
316,miguel pereira,-22.4539,-43.4689,19.73,61,0,2.73,BR,1719274352
317,llandrindod wells,52.2416,-3.3787,17.19,96,34,1.07,GB,1719274354
318,keflavik,64.0049,-22.5624,8.5,83,100,9.4,IS,1719274089
319,nantucket,41.2835,-70.0995,23.94,85,73,9.21,US,1719274202
320,fontanelas,38.8472,-9.4372,17.12,90,83,9.87,PT,1719274358
321,wajir,1.7471,40.0573,23.25,60,72,8.12,KE,1719274361
322,santarem,-2.4431,-54.7083,26.78,68,67,1.29,BR,1719274192
323,lascano,-33.6667,-54.2,9.06,56,72,4.19,UY,1719274363
324,raja,8.4596,25.678,21.18,90,78,1.6,SS,1719274365
325,mabaruma,8.2,-59.7833,22.93,100,80,1.03,GY,1719274366
326,along,28.1667,94.7667,22.25,98,82,0.12,IN,1719274367
327,mount gambier,-37.8333,140.7667,8.13,88,84,4.57,AU,1719274369
328,lakeville,44.6497,-93.2427,29.73,72,72,1.34,US,1719274162
329,tidjikja,18.5564,-11.4271,34.57,13,5,3.15,MR,1719274128
330,luderitz,-26.6481,15.1594,17.32,53,0,5.0,NA,1719274162
331,olavarria,-36.8927,-60.3225,5.87,70,100,3.39,AR,1719274226
332,ust'-ilimsk,58.0006,102.6619,15.91,74,15,0.12,RU,1719274376
333,praia,14.9215,-23.5087,22.25,81,64,4.61,CV,1719274377
334,pereyaslovskaya,45.8412,39.0238,20.74,55,15,3.06,RU,1719274378
335,halfway,39.6207,-77.7589,27.03,47,14,3.95,US,1719274380
336,merizo village,13.2658,144.6691,30.55,78,5,7.76,GU,1719274381
337,coyhaique,-45.5752,-72.0662,-1.82,98,68,2.53,CL,1719274164
338,karauli,26.5,77.0167,32.61,57,38,1.39,IN,1719274384
339,klaksvik,62.2266,-6.589,8.72,91,100,4.51,FO,1719274385
340,tyumentsevo,53.3224,81.498,22.97,81,92,2.28,RU,1719274386
341,kigali,-1.95,30.0588,13.15,81,5,1.18,RW,1719274388
342,at taj,24.2049,23.2857,28.25,20,0,4.41,LY,1719274389
343,amga,60.8953,131.9608,23.12,41,68,2.9,RU,1719274391
344,badger,64.8,-147.5333,25.45,32,89,1.86,US,1719274392
345,przysucha,51.3586,20.6289,18.02,84,95,1.9,PL,1719274393
346,san rafael del sur,11.8485,-86.4384,26.38,85,84,2.67,NI,1719274395
347,illizi,26.4833,8.4667,34.67,7,29,2.87,DZ,1719274396
348,udachny,66.4167,112.4,24.18,38,23,8.64,RU,1719274397
349,tame,6.461,-71.73,23.46,87,43,1.72,CO,1719274399
350,yeppoon,-23.1333,150.7333,22.36,69,26,4.11,AU,1719274400
351,tubarjal,30.4999,38.216,28.68,29,35,7.05,SA,1719274211
352,les avirons,-21.2418,55.3394,15.0,77,4,7.08,RE,1719274404
353,pangody,65.85,74.4859,18.86,76,81,3.82,RU,1719274406
354,sovetskaya gavan',48.9723,140.2878,8.83,90,100,2.46,RU,1719274407
355,mariehamn,60.0973,19.9348,15.46,65,27,3.51,AX,1719274408
356,la ronge,55.1001,-105.2842,13.9,96,100,2.67,CA,1719274166
